2026-07-01 22:33:21,068 | ERROR    | StatisticsManager | FINNHUB failed after 0.2881s
2026-07-01 22:33:21,086 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:33:21,307 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:33:21,309 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:33:21,568 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:33:21,569 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:33:21,570 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : ^GSPC
2026-07-01 22:33:21,572 | INFO     | SourceEngine | REQUEST : TSM
2026-07-01 22:33:21,773 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:33:21,774 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:33:22,247 | ERROR    | StatisticsManager | FINNHUB failed after 0.2275s
2026-07-01 22:33:22,248 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:33:22,454 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:33:22,455 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:33:23,264 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:33:23,266 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:33:23,267 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : TSM
2026-07-01 22:33:23,269 | INFO     | SourceEngine | REQUEST : TSM
2026-07-01 22:33:23,485 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:33:23,487 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:33:23,945 | ERROR    | StatisticsManager | FINNHUB failed after 0.2217s
2026-07-01 22:33:23,945 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:33:24,145 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:33:24,145 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:33:24,424 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:33:24,424 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:33:24,424 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : TSM
2026-07-01 22:33:24,425 | INFO     | SourceEngine | REQUEST : AMAT
2026-07-01 22:33:24,625 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:33:24,626 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:33:25,089 | ERROR    | StatisticsManager | FINNHUB failed after 0.2398s
2026-07-01 22:33:25,090 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:33:25,364 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:33:25,365 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:33:27,048 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:33:27,049 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:33:27,050 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : AMAT
2026-07-01 22:33:27,051 | INFO     | SourceEngine | REQUEST : AMAT
2026-07-01 22:33:27,256 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:33:27,257 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:33:27,982 | ERROR    | StatisticsManager | FINNHUB failed after 0.4951s
2026-07-01 22:33:27,983 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:33:28,176 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:33:28,177 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:33:31,873 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:33:31,874 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:33:31,875 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : AMAT
2026-07-01 22:33:31,876 | INFO     | SourceEngine | REQUEST : AMAT
2026-07-01 22:33:32,079 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:33:32,080 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:33:32,591 | ERROR    | StatisticsManager | FINNHUB failed after 0.2641s
2026-07-01 22:33:32,592 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:33:32,793 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:33:32,795 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:33:33,130 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:33:33,131 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:33:33,132 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : AMAT
2026-07-01 22:33:33,133 | INFO     | SourceEngine | REQUEST : MSTR
2026-07-01 22:33:33,321 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:33:33,322 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:33:33,771 | ERROR    | StatisticsManager | FINNHUB failed after 0.2293s
2026-07-01 22:33:33,772 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:33:33,973 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:33:33,974 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:33:34,187 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:33:34,188 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:33:34,189 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : MSTR
2026-07-01 22:33:34,191 | INFO     | SourceEngine | REQUEST : MSTR
2026-07-01 22:33:34,387 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:33:34,388 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:33:34,856 | ERROR    | StatisticsManager | FINNHUB failed after 0.2323s
2026-07-01 22:33:34,857 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:33:35,063 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:33:35,064 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:33:36,666 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:33:36,667 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
